ACCID,DB,Feature,Start,End,misc1,Strand,misc2,Notes,gene_synonym,ECKnb,JWnb,Bnb,locus_tag,GeneID,Parent,ID,gbkey,gene_biotype,gene,product
AP009048.1,DDBJ,CDS,27293,28207,.,+,0,ID=cds-BAB96599.1;Parent=gene-rihC;Dbxref=NCBI_GP:BAB96599.1;Name=BAB96599.1;Note=ECK0031:JW0028:b0030;gbkey=CDS;gene=rihC;product=ribonucleoside hydrolase 3;protein_id=BAB96599.1;transl_table=11,ECK0031:JW0028:b0030,ECK0031,JW0028,b0030,NA,NA,gene-rihC,cds-BAB96599.1,CDS,protein_coding,rihC,ribonucleoside hydrolase 3
AP009048.1,DDBJ,CDS,28374,29195,.,+,0,ID=cds-BAB96600.1;Parent=gene-dapB;Dbxref=NCBI_GP:BAB96600.1;Name=BAB96600.1;Note=ECK0032:JW0029:b0031;gbkey=CDS;gene=dapB;product=dihydrodipicolinate reductase;protein_id=BAB96600.1;transl_table=11,ECK0032:JW0029:b0031,ECK0032,JW0029,b0031,NA,NA,gene-dapB,cds-BAB96600.1,CDS,protein_coding,dapB,dihydrodipicolinate reductase
AP009048.1,DDBJ,CDS,29651,30799,.,+,0,ID=cds-BAB96601.1;Parent=gene-carA;Dbxref=NCBI_GP:BAB96601.1;Name=BAB96601.1;Note=ECK0033:JW0030:b0032;gbkey=CDS;gene=carA;product=carbamoyl phosphate synthetase small subunit%2C glutamine amidotransferase;protein_id=BAB96601.1;transl_table=11,ECK0033:JW0030:b0032,ECK0033,JW0030,b0032,NA,NA,gene-carA,cds-BAB96601.1,CDS,protein_coding,carA,carbamoyl phosphate synthetase small subunit%2C glutamine amidotransferase
AP009048.1,DDBJ,CDS,30817,34038,.,+,0,ID=cds-BAB96602.1;Parent=gene-carB;Dbxref=NCBI_GP:BAB96602.1;Name=BAB96602.1;Note=ECK0034:JW0031:b0033;gbkey=CDS;gene=carB;product=carbamoyl-phosphate synthase large subunit;protein_id=BAB96602.1;transl_table=11,ECK0034:JW0031:b0033,ECK0034,JW0031,b0033,NA,NA,gene-carB,cds-BAB96602.1,CDS,protein_coding,carB,carbamoyl-phosphate synthase large subunit
AP009048.1,DDBJ,CDS,34300,34695,.,+,0,ID=cds-BAE76036.1;Parent=gene-caiF;Dbxref=NCBI_GP:BAE76036.1;Name=BAE76036.1;Note=ECK0035:JW0033:b0034;gbkey=CDS;gene=caiF;product=DNA-binding transcriptional activator;protein_id=BAE76036.1;transl_table=11,ECK0035:JW0033:b0034,ECK0035,JW0033,b0034,NA,NA,gene-caiF,cds-BAE76036.1,CDS,protein_coding,caiF,DNA-binding transcriptional activator
AP009048.1,DDBJ,CDS,34781,35371,.,-,0,ID=cds-BAB96604.2;Parent=gene-caiE;Dbxref=NCBI_GP:BAB96604.2;Name=BAB96604.2;Note=ECK0036:JW5004:b0035;gbkey=CDS;gene=caiE;product=predicted acyl transferase;protein_id=BAB96604.2;transl_table=11,ECK0036:JW5004:b0035,ECK0036,JW5004,b0035,NA,NA,gene-caiE,cds-BAB96604.2,CDS,protein_coding,caiE,predicted acyl transferase
AP009048.1,DDBJ,CDS,35377,36270,.,-,0,ID=cds-BAB96605.2;Parent=gene-caiD;Dbxref=NCBI_GP:BAB96605.2;Name=BAB96605.2;Note=ECK0037:JW0035:b0036;gbkey=CDS;gene=caiD;product=crotonobetainyl CoA hydratase;protein_id=BAB96605.2;transl_table=11,ECK0037:JW0035:b0036,ECK0037,JW0035,b0036,NA,NA,gene-caiD,cds-BAB96605.2,CDS,protein_coding,caiD,crotonobetainyl CoA hydratase
AP009048.1,DDBJ,CDS,36271,37839,.,-,0,ID=cds-BAB96606.1;Parent=gene-caiC;Dbxref=NCBI_GP:BAB96606.1;Name=BAB96606.1;Note=ECK0038:JW0036:b0037;gbkey=CDS;gene=caiC;product=predicted crotonobetaine CoA ligase:carnitine CoA ligase;protein_id=BAB96606.1;transl_table=11,ECK0038:JW0036:b0037,ECK0038,JW0036,b0037,NA,NA,gene-caiC,cds-BAB96606.1,CDS,protein_coding,caiC,predicted crotonobetaine CoA ligase:carnitine CoA ligase
AP009048.1,DDBJ,CDS,37898,39115,.,-,0,ID=cds-BAB96607.1;Parent=gene-caiB;Dbxref=NCBI_GP:BAB96607.1;Name=BAB96607.1;Note=ECK0039:JW0037:b0038;gbkey=CDS;gene=caiB;product=crotonobetainyl CoA:carnitine CoA transferase;protein_id=BAB96607.1;transl_table=11,ECK0039:JW0037:b0038,ECK0039,JW0037,b0038,NA,NA,gene-caiB,cds-BAB96607.1,CDS,protein_coding,caiB,crotonobetainyl CoA:carnitine CoA transferase
AP009048.1,DDBJ,CDS,39244,40386,.,-,0,ID=cds-BAB96608.2;Parent=gene-caiA;Dbxref=NCBI_GP:BAB96608.2;Name=BAB96608.2;Note=ECK0040:JW0038:b0039;gbkey=CDS;gene=caiA;product=crotonobetaine reductase subunit II%2C FAD-binding;protein_id=BAB96608.2;transl_table=11,ECK0040:JW0038:b0039,ECK0040,JW0038,b0039,NA,NA,gene-caiA,cds-BAB96608.2,CDS,protein_coding,caiA,crotonobetaine reductase subunit II%2C FAD-binding
AP009048.1,DDBJ,CDS,40417,41931,.,-,0,ID=cds-BAB96609.2;Parent=gene-caiT;Dbxref=NCBI_GP:BAB96609.2;Name=BAB96609.2;Note=ECK0041:JW0039:b0040;gbkey=CDS;gene=caiT;product=predicted transporter;protein_id=BAB96609.2;transl_table=11,ECK0041:JW0039:b0040,ECK0041,JW0039,b0040,NA,NA,gene-caiT,cds-BAB96609.2,CDS,protein_coding,caiT,predicted transporter
AP009048.1,DDBJ,CDS,42403,43173,.,+,0,ID=cds-BAB96610.2;Parent=gene-fixA;Dbxref=NCBI_GP:BAB96610.2;Name=BAB96610.2;Note=ECK0042:JW0040:b0041;gbkey=CDS;gene=fixA;product=predicted electron transfer flavoprotein subunit%2C ETFP adenine nucleotide-binding domain;protein_id=BAB96610.2;transl_table=11,ECK0042:JW0040:b0041,ECK0042,JW0040,b0041,NA,NA,gene-fixA,cds-BAB96610.2,CDS,protein_coding,fixA,predicted electron transfer flavoprotein subunit%2C ETFP adenine nucleotide-binding domain
AP009048.1,DDBJ,CDS,43188,44129,.,+,0,ID=cds-BAE76037.1;Parent=gene-fixB;Dbxref=NCBI_GP:BAE76037.1;Name=BAE76037.1;Note=ECK0043:JW0041:b0042;gbkey=CDS;gene=fixB;product=predicted electron transfer flavoprotein%2C NAD/FAD-binding domain and ETFP adenine nucleotide-binding domain-like;protein_id=BAE76037.1;transl_table=11,ECK0043:JW0041:b0042,ECK0043,JW0041,b0042,NA,NA,gene-fixB,cds-BAE76037.1,CDS,protein_coding,fixB,predicted electron transfer flavoprotein%2C NAD/FAD-binding domain and ETFP adenine nucleotide-binding domain-like
AP009048.1,DDBJ,CDS,44180,45466,.,+,0,ID=cds-BAB96611.2;Parent=gene-fixC;Dbxref=NCBI_GP:BAB96611.2;Name=BAB96611.2;Note=ECK0044:JW0042:b0043;gbkey=CDS;gene=fixC;product=predicted oxidoreductase%2C FAD/NAD(P)-binding domain;protein_id=BAB96611.2;transl_table=11,ECK0044:JW0042:b0043,ECK0044,JW0042,b0043,NA,NA,gene-fixC,cds-BAB96611.2,CDS,protein_coding,fixC,predicted oxidoreductase%2C FAD/NAD(P)-binding domain
AP009048.1,DDBJ,CDS,45463,45750,.,+,0,ID=cds-BAB96612.2;Parent=gene-fixX;Dbxref=NCBI_GP:BAB96612.2;Name=BAB96612.2;Note=ECK0045:JW0043:b0044;gbkey=CDS;gene=fixX;product=predicted 4Fe-4S ferredoxin-type protein;protein_id=BAB96612.2;transl_table=11,ECK0045:JW0043:b0044,ECK0045,JW0043,b0044,NA,NA,gene-fixX,cds-BAB96612.2,CDS,protein_coding,fixX,predicted 4Fe-4S ferredoxin-type protein
AP009048.1,DDBJ,CDS,45807,47138,.,+,0,ID=cds-BAB96613.2;Parent=gene-yaaU;Dbxref=NCBI_GP:BAB96613.2;Name=BAB96613.2;Note=ECK0046:JW0044:b0045;gbkey=CDS;gene=yaaU;product=predicted transporter;protein_id=BAB96613.2;transl_table=11,ECK0046:JW0044:b0045,ECK0046,JW0044,b0045,NA,NA,gene-yaaU,cds-BAB96613.2,CDS,protein_coding,yaaU,predicted transporter
AP009048.1,DDBJ,CDS,47246,47776,.,+,0,ID=cds-BAB96614.2;Parent=gene-kefF;Dbxref=NCBI_GP:BAB96614.2;Name=BAB96614.2;Note=ECK0047:JW0045:b0046;gbkey=CDS;gene=kefF;product=flavoprotein subunit for the KefC potassium efflux system;protein_id=BAB96614.2;transl_table=11,ECK0047:JW0045:b0046,ECK0047,JW0045,b0046,NA,NA,gene-kefF,cds-BAB96614.2,CDS,protein_coding,kefF,flavoprotein subunit for the KefC potassium efflux system
AP009048.1,DDBJ,CDS,47769,49631,.,+,0,ID=cds-BAB96615.1;Parent=gene-kefC;Dbxref=NCBI_GP:BAB96615.1;Name=BAB96615.1;Note=ECK0048:JW0046:b0047;gbkey=CDS;gene=kefC;product=potassium:proton antiporter;protein_id=BAB96615.1;transl_table=11,ECK0048:JW0046:b0047,ECK0048,JW0046,b0047,NA,NA,gene-kefC,cds-BAB96615.1,CDS,protein_coding,kefC,potassium:proton antiporter
AP009048.1,DDBJ,CDS,49823,50302,.,+,0,ID=cds-BAB96616.1;Parent=gene-folA;Dbxref=NCBI_GP:BAB96616.1;Name=BAB96616.1;Note=ECK0049:JW0047:b0048;gbkey=CDS;gene=folA;product=dihydrofolate reductase;protein_id=BAB96616.1;transl_table=11,ECK0049:JW0047:b0048,ECK0049,JW0047,b0048,NA,NA,gene-folA,cds-BAB96616.1,CDS,protein_coding,folA,dihydrofolate reductase
AP009048.1,DDBJ,CDS,50380,51222,.,-,0,ID=cds-BAB96617.2;Parent=gene-apaH;Dbxref=NCBI_GP:BAB96617.2;Name=BAB96617.2;Note=ECK0050:JW0048:b0049;gbkey=CDS;gene=apaH;product=diadenosine tetraphosphatase;protein_id=BAB96617.2;transl_table=11,ECK0050:JW0048:b0049,ECK0050,JW0048,b0049,NA,NA,gene-apaH,cds-BAB96617.2,CDS,protein_coding,apaH,diadenosine tetraphosphatase
AP009048.1,DDBJ,CDS,51229,51606,.,-,0,ID=cds-BAB96618.1;Parent=gene-apaG;Dbxref=NCBI_GP:BAB96618.1;Name=BAB96618.1;Note=ECK0051:JW0049:b0050;gbkey=CDS;gene=apaG;product=protein associated with Co2+ and Mg2+ efflux;protein_id=BAB96618.1;transl_table=11,ECK0051:JW0049:b0050,ECK0051,JW0049,b0050,NA,NA,gene-apaG,cds-BAB96618.1,CDS,protein_coding,apaG,protein associated with Co2+ and Mg2+ efflux
AP009048.1,DDBJ,CDS,51609,52430,.,-,0,ID=cds-BAE76038.1;Parent=gene-ksgA;Dbxref=NCBI_GP:BAE76038.1;Name=BAE76038.1;Note=ECK0052:JW0050:b0051;gbkey=CDS;gene=ksgA;product=S-adenosylmethionine-6-N'%2CN'-adenosyl (rRNA) dimethyltransferase;protein_id=BAE76038.1;transl_table=11,ECK0052:JW0050:b0051,ECK0052,JW0050,b0051,NA,NA,gene-ksgA,cds-BAE76038.1,CDS,protein_coding,ksgA,S-adenosylmethionine-6-N'%2CN'-adenosyl (rRNA) dimethyltransferase
AP009048.1,DDBJ,CDS,52427,53416,.,-,0,ID=cds-BAB96619.1;Parent=gene-pdxA;Dbxref=NCBI_GP:BAB96619.1;Name=BAB96619.1;Note=ECK0053:JW0051:b0052;gbkey=CDS;gene=pdxA;product=4-hydroxy-L-threonine phosphate dehydrogenase%2C NAD-dependent;protein_id=BAB96619.1;transl_table=11,ECK0053:JW0051:b0052,ECK0053,JW0051,b0052,NA,NA,gene-pdxA,cds-BAB96619.1,CDS,protein_coding,pdxA,4-hydroxy-L-threonine phosphate dehydrogenase%2C NAD-dependent
AP009048.1,DDBJ,CDS,53416,54702,.,-,0,ID=cds-BAB96620.2;Parent=gene-surA;Dbxref=NCBI_GP:BAB96620.2;Name=BAB96620.2;Note=ECK0054:JW0052:b0053%3B~PPIase;gbkey=CDS;gene=surA;product=peptidyl-prolyl cis-trans isomerase;protein_id=BAB96620.2;transl_table=11,ECK0054:JW0052:b0053%3B~PPIase,ECK0054,JW0052,b0053,NA,NA,gene-surA,cds-BAB96620.2,CDS,protein_coding,surA,peptidyl-prolyl cis-trans isomerase
AP009048.1,DDBJ,CDS,54755,57109,.,-,0,ID=cds-BAB96622.1;Parent=gene-imp;Dbxref=NCBI_GP:BAB96622.1;Name=BAB96622.1;Note=ECK0055:JW0053:b0054;gbkey=CDS;gene=imp;product=exported protein required for envelope biosynthesis and integrity;protein_id=BAB96622.1;transl_table=11,ECK0055:JW0053:b0054,ECK0055,JW0053,b0054,NA,NA,gene-imp,cds-BAB96622.1,CDS,protein_coding,imp,exported protein required for envelope biosynthesis and integrity
