# License
#	# RegulonDB is free for academic/noncommercial use
# User is not entitled to change or erase data sets of the RegulonDB
# database or to eliminate copyright notices from RegulonDB. Furthermore,
# User is not entitled to expand RegulonDB or to integrate RegulonDB partly
# or as a whole into other databank systems, without prior written consent
# from CCG-UNAM.
# Please check the license at https://regulondb.ccg.unam.mx/manual/aboutUs/terms-conditions
# Citation
#	# Heladia Salgado, Socorro Gama-Castro, et al., RegulonDB v12.0: a comprehensive resource of transcriptional regulation in E. coli K-12,
# Nucleic Acids Research, 2023;, gkad1072, https://doi.org/10.1093/nar/gkad1072
# RegulonDB Release: 13.5
# Contact
#	email:regulondb@ccg.unam.mx
#Date:
#	01-28-2025
## Columns:
## (1) tuId. Transcription Unit identifier assigned by RegulonDB
## (2) tuName. Transcription unit name 
## (3) operonId. Operon Id containing the transcription unit
## (4) operonName. Operon name containing the transcription unit
## (5) tuGenes. Name of the gene(s) contained in the transcription unit
## (6) pmName. Promoter Name
## (7) terminatorIds. Ids of the terminators associated to transcription unit
## (8) tuEvidence. Evidence that supports the existence of the transcription unit
## (9) addEvidence. Additive Evidence [CV(EvidenceCode1/EvidenceCodeN)|Confidence Level]
## (10) confidenceLevel. TU confidence level (Values: Confirmed, Strong, Weak)
## (11) pmids associated to object
1)tuId	2)tuName	3)operonId	4)operonName	5)tuGenes	6)pmName	7)terminatorIds	8)tuEvidence	9)addEvidence	10)confidenceLevel	11)pmids 
RDBECOLITUC00142	dinB-yafNOP	RDBECOLIOPC03107	dinB-yafNOP	yafP;yafO;yafN;dinB;	dinBp		[EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S][EXP-IMP-POLAR-MUTATION:S]	[AE(EXP-IDA-TRANSCRIPT-LEN-DETERMINATION/EXP-IMP-POLAR-MUTATION):C]	C	12813093 
RDBECOLITUC00143	yafNOP	RDBECOLIOPC03107	dinB-yafNOP	yafP;yafO;yafN;	yafNp		[COMP-AINF:W]		W	 
RDBECOLITUC00144	ykfJ-prfH	RDBECOLIOPC02459	ykfJ-prfH	prfH;ykfJ;			[COMP-AINF:W]		W	 
RDBECOLITUC00145	frsA	RDBECOLIOPC01283	frsA	frsA;	frsAp		[EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S][COMP-AINF:W]		S	6397401 
RDBECOLITUC00146	yafY-ykfBF-yafX-ykfGH-yafW-ykfI	RDBECOLIOPC03606	yafY-ykfBF-yafX-ykfGH-yafW-ykfI	yafY;ykfB;ykfF;yafX;ykfG;ykfH;yafW;ykfI;			[COMP-AINF:W]		W	 
RDBECOLITUC00147	ykfA-yafZ	RDBECOLIOPC03117	ykfA-yafZ	ykfA;yafZ;			[COMP-AINF:W]		W	 
RDBECOLITUC00148	perR	RDBECOLIOPC01018	perR	perR;			[COMP-AINF:W]		W	 
RDBECOLITUC00149	None	RDBECOLIOPC00135	insNI1	insI1;insN;	insN-1p		[COMP-AINF:W]		W	 
RDBECOLITUC00150	ykfC	RDBECOLIOPC01672	ykfC	ykfC;			[COMP-AINF:W]		W	 
RDBECOLITUC00151	mmuPM	RDBECOLIOPC00726	mmuPM	mmuM;mmuP;			[COMP-AINF:W]		W	 
RDBECOLITUC00152	insA2B2AB2-afuBC	RDBECOLIOPC02380	insA2B2AB2-afuBC	insA2;insB2;insAB2;afuB;afuC;			[COMP-AINF:W]		W	 
RDBECOLITUC00153	yagAB-insX	RDBECOLIOPC01332	yagAB-insX	yagA;yagB;insX;			[COMP-AINF:W]		W	 
RDBECOLITUC00154	yagEF	RDBECOLIOPC00446	yagEF	yagF;yagE;			[COMP-AINF:W]		W	31482281;29087459 
RDBECOLITUC00155	yagGH	RDBECOLIOPC01970	yagGH	yagH;yagG;			[COMP-AINF:W]		W	 
RDBECOLITUC00156	xynR	RDBECOLIOPC03405	argF-xynR	xynR;			[COMP-AINF:W]		W	 
RDBECOLITUC00157	insA3B3AB3	RDBECOLIOPC00171	insA3B3AB3	insA3;insB3;insAB3;			[COMP-AINF:W]		W	 
RDBECOLITUC00158	yagK	RDBECOLIOPC01612	yagK	yagK;	yagKp6		[COMP-AINF:W]		W	 
RDBECOLITUC00159	yagML	RDBECOLIOPC00675	yagML	yagM;yagL;			[EXP-IEP-COREGULATION:W][COMP-AINF:W]		W	21398637 
RDBECOLITUC00160	yagN	RDBECOLIOPC02443	yagN	yagN;			[COMP-AINF:W]		W	 
RDBECOLITUC00161	intF	RDBECOLIOPC01273	intF	intF;			[COMP-AINF:W]		W	 
RDBECOLITUC00162	yagP	RDBECOLIOPC00395	yagP	yagP;			[COMP-AINF:W]		W	 
RDBECOLITUC00163	paoABCD	RDBECOLIOPC02013	paoABCD	paoA;paoB;paoC;paoD;			[COMP-AINF:W]		W	 
RDBECOLITUC00164	ykgJ	RDBECOLIOPC01005	ykgJ	ykgJ;			[COMP-AINF:W]		W	 
RDBECOLITUC00165	ecpBCDE	RDBECOLIOPC01007	ecpBCDE	ecpB;ecpC;ecpD;ecpE;	ecpBp1		[COMP-AINF:W]		W	 
RDBECOLITUC00166	ecpA	RDBECOLIOPC01661	ecpA	ecpA;	ecpAp		[COMP-AINF:W]		W	 
RDBECOLITUC00167	ecpR	RDBECOLIOPC00714	ecpR	matA;	ecpRp		[COMP-AINF:W]		W	33014613 
RDBECOLITUC00168	ykgMO	RDBECOLIOPC02365	ykgMO	ykgM;ykgO;	ykgMp		[EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S][COMP-AINF:W]		S	19734316 
RDBECOLITUC00169	eaeH-insE1EF1F1	RDBECOLIOPC01320	eaeH-insE1EF1F1	insF1;insE1;insEF1;eaeH;			[COMP-AINF:W]		W	 
RDBECOLITUC00170	ykgA	RDBECOLIOPC00435	ykgA	ykgA;			[COMP-AINF:W]		W	 
RDBECOLITUC00171	rclBC	RDBECOLIOPC02840	rclABC	rclB;rclC;			[COMP-AINF:W]		W	 
RDBECOLITUC00172	rclABC	RDBECOLIOPC02840	rclABC	rclC;rclB;rclA;	rclAp		[EXP-IEP-COREGULATION:W][IC-ADJ-GENES-SAME-BIO-PROCESS:W]		W	24078635 
RDBECOLITUC00173	rclR	RDBECOLIOPC00163	rclR	rclR;			[COMP-AINF:W]		W	 
RDBECOLITUC00174	ykgEFG	RDBECOLIOPC01598	ykgEFG	ykgG;ykgF;ykgE;			[COMP-AINF:W]		W	31964733 
RDBECOLITUC00175	ykgH	RDBECOLIOPC00663	ykgH	ykgH;			[COMP-AINF:W]		W	 
RDBECOLITUC00176	pdeL	RDBECOLIOPC03128	pdeL	pdeL;	pdeLp1		[EXP-IDA-BOUNDARIES-DEFINED:W][COMP-AINF:W]		W	16115199 
RDBECOLITUC00177	yahB	RDBECOLIOPC01261	yahB	yahB;			[COMP-AINF:W]		W	 
RDBECOLITUC00178	yahC	RDBECOLIOPC00385	yahC	yahC;			[COMP-AINF:W]		W	 
RDBECOLITUC00179	yahDEFG	RDBECOLIOPC02002	yahDEFG	yahG;yahF;yahE;yahD;			[COMP-AINF:W]		W	 
RDBECOLITUC00180	yahH	RDBECOLIOPC00995	yahH	yahH;			[COMP-AINF:W]		W	 
RDBECOLITUC00181	yahIJ	RDBECOLIOPC00116	yahIJ	yahJ;yahI;			[COMP-AINF:W]		W	 
RDBECOLITUC00182	yahK	RDBECOLIOPC01646	yahK	yahK;			[COMP-AINF:W]		W	 
RDBECOLITUC00183	yahL	RDBECOLIOPC00702	yahL	yahL;			[COMP-AINF:W]		W	 
RDBECOLITUC00184	yahM	RDBECOLIOPC02347	yahM	yahM;			[COMP-AINF:W]		W	 
RDBECOLITUC00185	mhpT	RDBECOLIOPC01304	mhpT	mhpT;	mhpTp		[COMP-AINF:W]		W	 
RDBECOLITUC00186	yaiL	RDBECOLIOPC00424	yaiL	yaiL;			[COMP-AINF:W]		W	 
RDBECOLITUC00187	frmRAB	RDBECOLIOPC01940	frmRAB	frmR;frmA;frmB;			[COMP-AINF:W]		W	27934966 
RDBECOLITUC00188	yaiO	RDBECOLIOPC03574	yaiO	yaiO;			[COMP-AINF:W]		W	 
RDBECOLITUC00189	insC1CD1D1	RDBECOLIOPC00153	insC1CD1D1	insD1;insC1;insCD1;			[COMP-AINF:W]		W	 
RDBECOLITUC00190	yaiX	RDBECOLIOPC03574	yaiO	yaiX;			[COMP-AINF:W]		W	 
RDBECOLITUC00191	yaiP	RDBECOLIOPC00651	yaiP	yaiP;			[COMP-AINF:W]		W	 
RDBECOLITUC00192	hemB	RDBECOLIOPC02407	hemB	hemB;	hemBp		[EXP-IDA-BOUNDARIES-DEFINED:W][COMP-AINF:W]		W	2464127;31964733 
RDBECOLITUC00193	insE2F2EF2	RDBECOLIOPC01250	insE2F2EF2	insE2;insF2;insEF2;			[COMP-AINF:W]		W	 
RDBECOLITUC00194	iprA	RDBECOLIOPC00374	iprA	iprA;			[COMP-AINF:W]		W	 
RDBECOLITUC00195	iraP	RDBECOLIOPC03311	iraP	iraP;	iraPp1		[EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S][COMP-AINF:W]		S	17640895;32211022;21070640 
RDBECOLITUC00196	yaiI	RDBECOLIOPC00980	yaiI	yaiI;			[COMP-AINF:W]		W	 
RDBECOLITUC00197	ppnP	RDBECOLIOPC00102	ppnP	ppnP;	ppnPp		[COMP-AINF:W]		W	 
RDBECOLITUC00198	ykiA	RDBECOLIOPC01631	ykiA	ykiA;	ykiAp		[COMP-AINF:W]		W	 
RDBECOLITUC00199	sbcDC	RDBECOLIOPC00691	sbcDC	sbcD;sbcC;	sbcDp		[IC-ADJ-GENES-SAME-BIO-PROCESS:W][COMP-AINF:W]		W	17644583 
RDBECOLITUC00200	brnQ-proY	RDBECOLIOPC02329	brnQ-proY	proY;brnQ;	brnQp		[COMP-AINF:W]		W	31964733 
RDBECOLITUC00201	yajD	RDBECOLIOPC01289	yajD	yajD;			[COMP-AINF:W]		W	 
RDBECOLITUC00202	yajI	RDBECOLIOPC00414	yajI	yajI;			[COMP-AINF:W]		W	 
RDBECOLITUC00203	nrdR-ribDE-nusB-thiL-pgpA	RDBECOLIOPC02538	nrdR-ribDE-nusB-thiL-pgpA	pgpA;thiL;nusB;ribE;ribD;nrdR;	nrdRp		[EXP-IMP-POLAR-MUTATION:S][IC-ADJ-GENES-SAME-BIO-PROCESS:W][COMP-AINF:W]		S	17496099 
RDBECOLITUC00204	panE-yajL	RDBECOLIOPC00933	panE-yajL	panE;yajL;			[COMP-AINF:W]		W	 
RDBECOLITUC00205	yajR	RDBECOLIOPC00143	yajR	yajR;	yajRp		[COMP-AINF:W]		W	 
RDBECOLITUC00206	ampG	RDBECOLIOPC01567	yajG-ampG	ampG;			[COMP-AINF:W]		W	 
RDBECOLITUC00207	yajG	RDBECOLIOPC01567	yajG-ampG	yajG;	yajGp	RDBECOLITMC00151	[EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S][COMP-AINF:W]		S	8231804 
RDBECOLITUC00208	tig	RDBECOLIOPC02843	tig	tig;	tigp1		[COMP-AINF:W]		W	 
RDBECOLITUC00209	ybaV	RDBECOLIOPC01234	ybaV	ybaV;			[COMP-AINF:W]		W	 
RDBECOLITUC00210	fadM	RDBECOLIOPC00363	fadM	fadM;	fadMp1		[COMP-AINF:W]		W	 
RDBECOLITUC00211	queC	RDBECOLIOPC01973	queC	queC;			[COMP-AINF:W]		W	 
RDBECOLITUC00212	ybaE	RDBECOLIOPC00971	ybaE	ybaE;			[COMP-AINF:W]		W	 
RDBECOLITUC00213	cof	RDBECOLIOPC00092	cof	cof;			[COMP-AINF:W]		W	 
RDBECOLITUC00214	decR	RDBECOLIOPC01618	decR	decR;	decRp		[COMP-AINF:W]		W	 
RDBECOLITUC00215	mdlAB	RDBECOLIOPC00681	mdlAB	mdlB;mdlA;			[COMP-AINF:W]		W	 
RDBECOLITUC00216	ffs	RDBECOLIOPC02309	ffs	ffs;			[COMP-AINF:W]		W	 
RDBECOLITUC00217	ybaA	RDBECOLIOPC01275	ybaA	ybaA;			[COMP-AINF:W]		W	 
RDBECOLITUC00218	pdeB	RDBECOLIOPC00402	pdeB	pdeB;			[COMP-AINF:W]		W	19332833 
RDBECOLITUC00219	ylaC	RDBECOLIOPC01909	ylaC	ylaC;	ylaCp		[COMP-AINF:W]		W	 
RDBECOLITUC00220	maa	RDBECOLIOPC00923	maa	maa;			[COMP-AINF:W]		W	 
RDBECOLITUC00221	tomB-hha	RDBECOLIOPC00131	tomB-hha	tomB;hha;	tomBp		[COMP-AINF:W]		W	 
RDBECOLITUC00222	mscK	RDBECOLIOPC01550	mscK	mscK;	mscKp		[COMP-AINF:W]		W	 
RDBECOLITUC00223	priC-ybaM	RDBECOLIOPC00628	priC-ybaM	priC;ybaM;			[COMP-AINF:W]		W	 
RDBECOLITUC00224	ybaN	RDBECOLIOPC02369	ybaN	ybaN;			[COMP-AINF:W]		W	 
RDBECOLITUC00225	apt	RDBECOLIOPC01221	apt	apt;	aptp		[COMP-AINF:W]		W	3527873 
RDBECOLITUC00226	dnaX	RDBECOLIOPC00352	dnaX	dnaX;	dnaXp		[EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S][COMP-AINF:W]		S	7691799 
RDBECOLITUC00227	hemH	RDBECOLIOPC01956	hemH	hemH;	hemHp		[COMP-AINF:W]		W	11443091;32571968 
RDBECOLITUC00228	ybaL	RDBECOLIOPC00959	ybaL	ybaL;	ybaLp		[COMP-AINF:W]		W	 
RDBECOLITUC00229	fsr	RDBECOLIOPC00082	fsr	fsr;			[COMP-AINF:W]		W	 
RDBECOLITUC00230	cueR	RDBECOLIOPC01602	cueR	cueR;			[COMP-AINF:W]		W	 
RDBECOLITUC00231	qmcA-ybbJ	RDBECOLIOPC00668	qmcA-ybbJ	qmcA;ybbJ;	qmcAp		[COMP-AINF:W]		W	 
RDBECOLITUC00232	fetAB	RDBECOLIOPC02292	fetAB	fetB;fetA;	fetAp		[COMP-AINF:W]		W	 
RDBECOLITUC00233	ybbAP	RDBECOLIOPC01262	ybbAP	ybbP;ybbA;			[COMP-AINF:W]		W	 
RDBECOLITUC00234	rhsD-ybbC-ylbH-ybbD	RDBECOLIOPC00388	rhsD-ybbC-ylbH-ybbD	ybbD;ylbH;ybbC;rhsD;			[COMP-AINF:W]		W	 
RDBECOLITUC00235	ylbG	RDBECOLIOPC01895	ylbG	ylbG;			[COMP-AINF:W]		W	 
RDBECOLITUC00236	fdrA-ylbEF-ybcF	RDBECOLIOPC00910	fdrA-ylbEF-ybcF	ybcF;ylbF;ylbE;fdrA;			[COMP-AINF:W]		W	 
RDBECOLITUC00237	ppiB-lpxH	RDBECOLIOPC00119	ppiB-lpxH	ppiB;lpxH;			[COMP-AINF:W]		W	35397010 
RDBECOLITUC00238	ybcI	RDBECOLIOPC01536	ybcI	ybcI;			[COMP-AINF:W]		W	 
RDBECOLITUC00239	folD-ybcJ	RDBECOLIOPC00614	folD-ybcJ	folD;ybcJ;	folDp		[COMP-AINF:W]		W	32571968;23717391 
RDBECOLITUC00240	sfmA	RDBECOLIOPC03415	sfmAC	sfmA;			[COMP-AINF:W]		W	23717391 
RDBECOLITUC00241	sfmCD	RDBECOLIOPC03415	sfmAC	sfmD;sfmC;			[COMP-AINF:W]		W	 
RDBECOLITUC00242	sfmHF	RDBECOLIOPC00340	sfmHF	sfmF;sfmH;			[COMP-AINF:W]		W	19969540 
RDBECOLITUC00243	exoD	RDBECOLIOPC01939	exoD	exoD;			[COMP-AINF:W]		W	 
RDBECOLITUC00244	peaD	RDBECOLIOPC00947	peaD	peaD;			[COMP-AINF:W]		W	 
RDBECOLITUC00245	insE3EF3F3	RDBECOLIOPC00070	insE3EF3F3	insF3;insE3;insEF3;			[COMP-AINF:W]		W	 
RDBECOLITUC00246	ybcK	RDBECOLIOPC01585	ybcK	ybcK;			[COMP-AINF:W]		W	 
RDBECOLITUC00247	ybcLM	RDBECOLIOPC00655	ybcLM	ybcM;ybcL;			[COMP-AINF:W]		W	 
RDBECOLITUC00248	ybcN-ninE-ybcO-rusA-ylcG	RDBECOLIOPC02272	ybcN-ninE-ybcO-rusA-ylcG	ylcG;rusA;ybcO;ninE;ybcN;			[COMP-AINF:W]		W	 
RDBECOLITUC00249	ybcQ	RDBECOLIOPC01251	ybcQ	quuD;			[COMP-AINF:W]		W	 
RDBECOLITUC00250	rzoD	RDBECOLIOPC00378	rzoD	rzoD;			[COMP-AINF:W]		W	 
RDBECOLITUC00251	ybcV	RDBECOLIOPC01876	ybcV	ybcV;			[COMP-AINF:W]		W	 
RDBECOLITUC00252	ybcW	RDBECOLIOPC00895	ybcW	ybcW;			[COMP-AINF:W]		W	 
RDBECOLITUC00253	nohD	RDBECOLIOPC00105	nohD	nohD;			[COMP-AINF:W]		W	 
RDBECOLITUC00254	tfaD	RDBECOLIOPC01521	tfaD	tfaD;			[COMP-AINF:W]		W	 
RDBECOLITUC00255	tfaX	RDBECOLIOPC00600	tfaX	tfaX;			[COMP-AINF:W]		W	 
RDBECOLITUC00256	ybdG	RDBECOLIOPC02330	ybdG	ybdG;			[COMP-AINF:W]		W	31964733 
RDBECOLITUC00257	ybdF	RDBECOLIOPC01198	ybdF	ybdF;			[COMP-AINF:W]		W	 
RDBECOLITUC00258	ybdJ	RDBECOLIOPC00328	ybdJ	ybdJ;			[COMP-AINF:W]		W	 
RDBECOLITUC00259	ybdK	RDBECOLIOPC01923	ybdK	ybdK;			[COMP-AINF:W]		W	 
RDBECOLITUC00260	insL2	RDBECOLIOPC00935	insL2	insL2;			[COMP-AINF:W]		W	 
RDBECOLITUC00261	ybdD	RDBECOLIOPC00060	ybdD	ybdD;			[COMP-AINF:W]		W	 
RDBECOLITUC00262	ybdM	RDBECOLIOPC03270	citR-ybdNM	ybdM;			[COMP-AINF:W]		W	 
