Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product	Accession-2	Names	Object ID	Regulation - genes directly activated by gene	Accession-1	Regulation - genes directly inhibited by gene	Accession-1	GO terms (biological process)	GO terms (cellular component)	GO terms (molecular function)	Transcription Units
ldtD	b0925	981047	982894	L,D-transpeptidase LdtD	ECK0916	ldtD // ycbB // b0925 // ECK0916	EG11253		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	peptidoglycan metabolic process // cell wall organization // DNA damage response // regulation of cell shape // cellular response to cell envelope stress // response to antibiotic // peptidoglycan biosynthetic process	membrane // outer membrane-bounded periplasmic space // plasma membrane	hydrolase activity // transferase activity // glycosyltransferase activity // protein binding // carboxypeptidase activity // peptidoglycan L,D-transpeptidase activity // cysteine-type carboxypeptidase activity	ldtD
panE	b0425	443604	444515	2-dehydropantoate 2-reductase	ECK0419	panE // apbA // b0425 // ECK0419	G6239		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	pantothenate biosynthetic process	cytoplasm // cytosol	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor // oxidoreductase activity // NADP binding // 2-dehydropantoate 2-reductase activity	panE-yajL
kilS	b4833	1418405	1418502	Rac prophage; small RNA KilS	ECK4690	kilS // b4833 // ECK4690	G0-17108		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).			protein binding // mRNA binding	
dnaG	b3066	3211107	3212852	DNA primase	ECK3056	dnaG // dnaP // parB // sdgA // b3066 // ECK3056	EG10239		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	replication fork processing // DNA unwinding involved in DNA replication // DNA replication // DNA replication, synthesis of RNA primer	DNA-directed RNA polymerase complex // DnaB-DnaG complex // replisome // primosome complex // cytoplasm // cytosol	nucleotidyltransferase activity // transferase activity // protein binding // metal ion binding // DNA binding // zinc ion binding // DNA primase activity	rpsU-dnaG-rpoD // rpsU-dnaG-rpoD // rpsU-dnaG-rpoD
mdh	b3236	3383330	3384268	malate dehydrogenase	ECK3225	mdh // b3236 // ECK3225	EG10576		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	carboxylic acid metabolic process // malate metabolic process // glycolytic process // tricarboxylic acid cycle // anaerobic respiration // fermentation	membrane // extrinsic component of membrane // cytoplasm // cytosol	protein homodimerization activity // oxidoreductase activity // catalytic activity // oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor // malate dehydrogenase activity // L-malate dehydrogenase activity	mdh // mdh
nupG	b2964	3105714	3106970	nucleoside:H<sup>+</sup> symporter NupG	ECK2959	nupG // gru // b2964 // ECK2959	EG10664		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	organic substance transport // nucleoside transport // adenosine transport // pyrimidine nucleoside transport // uridine transport // purine nucleoside transmembrane transport // cytidine transport // pyrimidine-containing compound transmembrane transport // nucleoside transmembrane transport	membrane // plasma membrane	symporter activity // nucleoside transmembrane transporter activity // transmembrane transporter activity // cytidine transmembrane transporter activity // uridine transmembrane transporter activity // pyrimidine nucleoside transmembrane transporter activity // nucleoside:proton symporter activity	yggX-mltC-nupG // mutY-yggX-mltC-nupG // mutY-yggX-mltC-nupG // nupG
ypeD	b4819	2512687	2512776	protein YpeD	ECK4676	ypeD // b4819 // ECK4676	G0-17094		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).				
panC	b0133	147944	148795	pantothenate synthetase	ECK0132	panC // b0133 // ECK0132	EG11746		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	biosynthetic process // pantothenate biosynthetic process	cytoplasm // cytosol	identical protein binding // ligase activity // catalytic activity // ATP binding // protein binding // nucleotide binding // protein homodimerization activity // pantoate-beta-alanine ligase activity	panBC
yfjW	b2642	2773318	2775021	CP4-57 prophage; uncharacterized protein YfjW	ECK2638	yfjW // b2642 // ECK2638	G7377		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		membrane // plasma membrane		yfjW
lacY	b0343	361926	363179	lactose permease	ECK0340	lacY // b0343 // ECK0340	EG10526		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	organic substance transport // carbohydrate transmembrane transport // proton transmembrane transport // transmembrane transport // carbohydrate transport // lactose transport	membrane // plasma membrane	uridine transmembrane transporter activity // cytidine transmembrane transporter activity // transmembrane transporter activity // symporter activity // lactose binding // carbohydrate:proton symporter activity // protein binding // lactose:proton symporter activity	lacYA // lacZYA // lacZYA // lacZYA // lacZYA
osmE	b1739	1821918	1822256	osmotically-inducible lipoprotein OsmE	ECK1737	osmE // anr // b1739 // ECK1737	EG10044		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	response to osmotic stress	outer membrane // plasma membrane // membrane	protein binding	osmE // osmE
mepM	b1856	1940313	1941635	peptidoglycan endopeptidase MepM	ECK1857	mepM // yebA // b1856 // ECK1857	EG10013		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	peptidoglycan turnover // cell wall organization // capsule polysaccharide biosynthetic process // septum digestion after cytokinesis // proteolysis // peptidoglycan metabolic process // cytokinesis	membrane // plasma membrane	endopeptidase activity // metal ion binding // hydrolase activity // metallopeptidase activity // peptidase activity // protein binding // metalloendopeptidase activity	yebA
coaA	b3974	4174076	4175026	pantothenate kinase	ECK3966	coaA // panK // rts // ts-9 // b3974 // ECK3966	EG10922		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	phosphorylation // coenzyme A biosynthetic process	cytoplasm // cytosol	transferase activity // kinase activity // nucleotide binding // ATP binding // pantetheine kinase activity // protein homodimerization activity // pantothenate kinase activity	coaA
naRNA2		4326205	4326281	naRNA2		naRNA2	G0-16695		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).				
holC	b4259	4483837	4484280	DNA polymerase III subunit &chi;	ECK4252	holC // b4259 // ECK4252	EG11413		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	DNA-templated DNA replication // DNA biosynthetic process // positive regulation of DNA-templated DNA replication initiation // DNA replication // response to radiation	DNA polymerase III complex // replisome // DNA polymerase III, clamp loader complex // cytosol	nucleotidyltransferase activity // transferase activity // DNA binding // protein binding // DNA-directed DNA polymerase activity	holC-valS // holC
fucA	b2800	2933041	2933688	L-fuculose-phosphate aldolase	ECK2795	fucA // fucC // prd // b2800 // ECK2795	EG10348		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	monosaccharide metabolic process // arabinose catabolic process // pentose catabolic process // fucose catabolic process // fucose metabolic process // L-fucose catabolic process // D-arabinose catabolic process	cytosol	carbon-carbon lyase activity // lyase activity // zinc ion binding // metal ion binding // aldehyde-lyase activity // L-fuculose-phosphate aldolase activity	fucAO
ydcV	b1443	1514762	1515556	putative ABC transporter membrane subunit YdcV	ECK1437	ydcV // b1443 // ECK1437	G6754		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	transmembrane transport // DNA import into cell involved in transformation	ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing // membrane // ATP-binding cassette (ABC) transporter complex // plasma membrane		ydcSTUV-patD
pmrR	b4703	4332116	4332205	small regulatory membrane protein PmrR	ECK4515	pmrR // b4703 // ECK4515	G0-10707		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		membrane // plasma membrane	enzyme inhibitor activity	
dfp	b3639	3812731	3813951	fused 4'-phosphopantothenoylcysteine decarboxylase and phosphopantothenoylcysteine synthetase	ECK3629	dfp // coaBC // b3639 // ECK3629	EG10004		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	metabolic process // pantothenate catabolic process // coenzyme A biosynthetic process	phosphopantothenoylcysteine decarboxylase complex // cytosol	protein binding // ligase activity // carboxy-lyase activity // lyase activity // catalytic activity // metal ion binding // identical protein binding // FMN binding // phosphopantothenoylcysteine decarboxylase activity // phosphopantothenate--cysteine ligase activity	dfp
yffR	b2449	2563980	2564372	CPZ-55 prophage; uncharacterized protein YffR	ECK2444	yffR // b2449 // ECK2444	G7279		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).				yffQR
bglB	b3721	3902289	3903701	6-phospho-&beta;-glucosidase B	ECK3714	bglB // blgA // b3721 // ECK3714	EG10114		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	carbohydrate catabolic process // carbohydrate metabolic process // metabolic process	cytosol	methyl beta-D-glucoside 6-phosphate glucohydrolase activity // beta-glucosidase activity // hydrolase activity, hydrolyzing O-glycosyl compounds // hydrolase activity, acting on glycosyl bonds // hydrolase activity // 6-phospho-beta-glucosidase activity	bglGFB
gntR	b3438	3577731	3578726	DNA-binding transcriptional repressor GntR	ECK3423	gntR // b3438 // ECK3423	EG12630		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	idnR // idnT // idnO // idnD // idnK // nfuA // yhgH // eda // edd // gntT // gntU // gntK	b4264 // b4265 // b4266 // b4267 // b4268 // b3414 // b3413 // b1850 // b1851 // b3415 // b4476 // b3437	regulation of DNA-templated transcription // D-gluconate catabolic process // DNA damage response // positive regulation of DNA-templated transcription // negative regulation of DNA-templated transcription	cytosol	DNA-binding transcription factor activity // transcription cis-regulatory region binding // DNA binding	gntRKU // gntR // gntR // gntR
lpoB	b1105	1162638	1163279	outer membrane lipoprotein - activator of MrcB activity	ECK1091	lpoB // ycfM // b1105 // ECK1091	G6565		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	regulation of cell shape // peptidoglycan biosynthetic process	membrane // periplasmic side of cell outer membrane // cell outer membrane	protein binding // enzyme regulator activity // enzyme activator activity // enzyme binding	hinT-ycfL-lpoB-thiK-nagZ-ycfP
panD	b0131	146314	146694	PanD &beta; cleavage product // PanD &alpha; cleavage product // aspartate 1-decarboxylase proenzyme	ECK0130	panD // b0131 // ECK0130	EG11747		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	alanine biosynthetic process // pantothenate biosynthetic process // protein autoprocessing	cytoplasm // cytosol	carboxy-lyase activity // lyase activity // aspartate 1-decarboxylase activity	panD // panD
yidD	b4557	3884816	3885073	membrane protein insertion efficiency factor	ECK3697	yidD // b4557 // ECK3697	G0-10470		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	protein insertion into membrane	membrane // plasma membrane	membrane insertase activity	
priB	b4201	4425520	4425834	primosomal replication protein N	ECK4197	priB // b4201 // ECK4197	EG10764		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	replication fork processing // DNA unwinding involved in DNA replication // DNA replication // DNA replication, synthesis of RNA primer // response to radiation // plasmid maintenance // DNA replication initiation	DnaB-DnaC-DnaT-PriA-PriB complex // pre-primosome complex // replisome // primosome complex // cytosol	identical protein binding // DNA binding // protein binding // single-stranded DNA binding	rpsF-priB-rpsR-rplI
aceE	b0114	123017	125680	pyruvate dehydrogenase E1 component	ECK0113	aceE // b0114 // ECK0113	EG10024		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	pyruvate catabolic process	pyruvate dehydrogenase complex // cytosol // membrane	molecular adaptor activity // small molecule binding // protein homodimerization activity // thiamine pyrophosphate binding // magnesium ion binding // oxidoreductase activity // catalytic activity // identical protein binding // pyruvate dehydrogenase activity // metal ion binding // protein binding // pyruvate dehydrogenase (acetyl-transferring) activity	aceEF // pdhR-aceEF-lpdA // aceEF // pdhR-aceEF-lpdA
rutG	b1006	1068511	1069839	pyrimidine:H<sup>+</sup> symporter	ECK0997	rutG // ycdG // b1006 // ECK0997	G6517		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	transmembrane transport // pyrimidine nucleotide transport // pyrimidine nucleobase transmembrane transport // uracil import across plasma membrane // uracil catabolic process	membrane // plasma membrane	xanthine transmembrane transporter activity // nucleobase transmembrane transporter activity // pyrimidine nucleotide transmembrane transporter activity // transmembrane transporter activity // symporter activity // pyrimidine nucleobase transmembrane transporter activity // uracil:monoatomic cation symporter activity // uracil transmembrane transporter activity	rutABCDEFG
ycfJ	b1110	1167599	1168138	PF05433 family protein YcfJ	ECK1096	ycfJ // b1110 // ECK1096	EG12444		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	regulation of single-species biofilm formation	outer membrane // membrane // plasma membrane		ycfJ
coaD	b3634	3809825	3810304	pantetheine-phosphate adenylyltransferase	ECK3624	coaD // yicA // kdtB // b3634 // ECK3624	EG11190		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	biosynthetic process // coenzyme A biosynthetic process	cytoplasm // cytosol	protein binding // nucleotidyltransferase activity // transferase activity // catalytic activity // ATP binding // nucleotide binding // identical protein binding // pantetheine-phosphate adenylyltransferase activity	kdtA-coaD
yfdK	b2354	2471077	2471517	CPS-53 (KpLE1) prophage; putative tail fiber assembly protein YfdK	ECK2348	yfdK // b2354 // ECK2348	G7223		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	response to oxidative stress			yfdONMLK
fruB	b2169	2262365	2263495	FruB - his299 phosphorylated // fructose-specific PTS multiphosphoryl transfer protein FruB	ECK2162	fruB // fpr // fruF // b2169 // ECK2162	G7990		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	organic substance transport // phosphorylation // fructose import across plasma membrane // phosphoenolpyruvate-dependent sugar phosphotransferase system	transmembrane transporter complex // plasma membrane // cytoplasm	protein-phosphocysteine-sugar phosphotransferase activity // transferase activity // kinase activity // protein binding // protein-N(PI)-phosphohistidine-fructose phosphotransferase system transporter activity	fruBKA
envR	b3264	3412803	3413465	DNA-binding transcriptional repressor EnvR	ECK3251	envR // acrS // yhdK // b3264 // ECK3251	EG11741		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	acrA // acrB	b0463 // b0462	negative regulation of DNA-templated transcription // response to xenobiotic stimulus	cytosol	DNA binding // DNA-binding transcription factor activity	envR
murE	b0085	93166	94653	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase	ECK0086	murE // b0085 // ECK0086	EG10621		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	cell wall organization // biosynthetic process // cell division // regulation of cell shape // cell cycle // peptidoglycan biosynthetic process	cytoplasm // cytosol	magnesium ion binding // protein binding // acid-amino acid ligase activity // ligase activity // ATP binding // nucleotide binding // UDP-N-acetylmuramoylalanyl-D-glutamate-2,6-diaminopimelate ligase activity	ftsLIO-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC // ftsLIO-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC // rsmH-ftsLIO-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC // mraZW-ftsLIO-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC
entF	b0586	614157	618038	seryl-[EntF peptidyl-carrier protein] // <i>holo</i> [EntF peptidyl-carrier protein] // apo-serine activating enzyme	ECK0579	entF // b0586 // ECK0579	EG10264		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	amide biosynthetic process // carboxylic acid metabolic process // organonitrogen compound biosynthetic process // secondary metabolite biosynthetic process // biosynthetic process // metabolic process // amino acid activation for nonribosomal peptide biosynthetic process // enterobactin biosynthetic process	cytoplasm // plasma membrane // cytosol // enterobactin synthetase complex	2,3-dihydroxybenzoate-serine ligase activity // nucleotidyltransferase activity // ATP binding // nucleotide binding // ligase activity // transferase activity // catalytic activity // phosphopantetheine binding	fes-ybdZ-entF-fepE
yhjY	b3548	3712236	3712934	putative outer membrane protein YhjY	ECK3535	yhjY // b3548 // ECK3535	EG12269		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		outer membrane // extracellular region		yhjY
dnaB	b4052	4264314	4265729	replicative DNA helicase	ECK4044	dnaB // groP // grpA // grpD // b4052 // ECK4044	EG10236		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	DNA duplex unwinding // replication fork processing // DNA replication initiation // DNA replication, synthesis of RNA primer // response to ionizing radiation // DNA unwinding involved in DNA replication // DNA replication	DnaB-DnaC complex // DnaB-DnaG complex // DnaB-DnaC-DnaT-PriA-PriB complex // DnaB-DnaC-DnaT-PriA-PriC complex // DnaB-DnaC-Rep-PriC complex // replisome // DNA helicase complex // primosome complex // cytosol	ATP hydrolysis activity // hydrolase activity // identical protein binding // protein binding // ATP binding // DNA binding // nucleotide binding // helicase activity // DNA helicase activity	dnaB
kbaZ	b3132	3278914	3280194	putative tagatose-1,6-bisphosphate aldolase 1 chaperone	ECK3120	kbaZ // yhaX // agaZ // b3132 // ECK3120	G7631		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	carbohydrate metabolic process // phosphoenolpyruvate-dependent sugar phosphotransferase system // D-tagatose 6-phosphate catabolic process	catalytic complex // cytosol	enzyme activator activity	kbaZ-agaVWA
ybhS	b0793	826119	827252	ABC exporter membrane subunit YbhS	ECK0782	ybhS // b0793 // ECK0782	G6410		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	tetracycline transmembrane transport // xenobiotic transmembrane transport // sodium ion transmembrane transport // lithium ion transmembrane transport // xenobiotic detoxification by transmembrane export across the plasma membrane	ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing // membrane // plasma membrane	ABC-type transporter activity // efflux transmembrane transporter activity	cecR-ybhGFSR
yhjG	b3524	3676290	3678350	AsmA family protein YhjG	ECK3509	yhjG // yhjF // b3524 // ECK3509	EG12251		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	regulation of protein targeting to membrane	membrane // plasma membrane		yhjG
coaE	b0103	112599	113219	dephospho-CoA kinase	ECK0103	coaE // yacE // b0103 // ECK0103	EG12312		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	phosphorylation // coenzyme A biosynthetic process	cytosol // cytoplasm	transferase activity // kinase activity // ATP binding // nucleotide binding // dephospho-CoA kinase activity	coaE-zapD-yacG
ydfW	b1567	1647174	1647323	Qin prophage; protein YdfW	ECK1561	ydfW // intK // b1567 // ECK1561	G6834		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).				dicC-ydfXW
